,age,workclass,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,over50K
21600,42,4,11,2,4,0,4,1,0,0,67,38,0
31054,25,2,9,2,3,0,4,1,0,0,39,38,1
30763,21,2,11,4,5,1,2,1,0,0,39,38,0
26570,12,2,11,2,6,0,4,1,0,0,39,38,0
27675,18,2,15,2,11,0,4,1,0,0,49,38,0
20392,31,2,11,0,2,1,4,1,0,0,39,38,0
29386,26,2,9,0,6,2,4,1,0,0,39,38,0
4265,31,4,7,2,9,0,4,1,0,0,39,38,0
12879,20,4,11,2,9,5,4,0,0,0,34,38,1
23150,13,2,15,2,11,0,4,1,0,0,39,38,1
23596,36,5,12,2,3,0,4,1,0,0,67,38,1
15179,16,4,15,4,11,1,4,1,0,0,63,38,0
25089,19,2,15,2,2,0,4,1,0,0,39,23,0
16388,19,1,9,2,9,3,4,1,0,0,39,38,0
21949,20,4,11,2,4,0,4,1,0,0,49,38,0
7338,2,2,15,4,0,3,2,0,0,0,19,38,0
31327,3,2,6,4,5,3,4,1,0,0,27,38,0
6441,37,0,11,4,0,4,4,0,0,0,19,38,0
2271,9,2,9,4,9,3,4,1,99,0,62,38,1
19642,15,4,11,2,11,0,4,1,0,0,59,38,1
10908,27,2,11,4,7,3,4,0,0,0,23,38,0
22372,34,2,11,0,3,1,4,1,0,0,43,38,0
7612,15,2,5,2,2,0,4,1,0,0,39,38,0
1629,16,2,15,4,0,3,4,0,117,0,29,38,1
11067,21,4,1,2,2,0,4,1,0,0,39,38,0
21159,19,2,9,0,9,1,4,1,0,0,39,38,0
12555,5,2,9,4,0,3,4,0,0,0,39,38,0
10243,7,2,15,4,11,1,1,0,0,0,49,29,0
1426,18,5,11,2,2,0,4,1,0,16,39,38,1
32506,54,2,6,2,7,0,4,1,0,0,39,38,0
25935,39,2,11,0,7,4,4,0,0,0,39,38,0
4726,28,2,5,5,7,4,4,0,0,0,39,25,0
8383,42,1,9,4,0,1,4,1,0,0,37,38,0
18886,21,2,11,0,0,1,4,0,0,0,39,38,0
9964,23,2,15,2,11,0,4,1,0,0,49,38,1
2423,24,4,11,2,4,0,4,1,93,0,39,38,1
16362,21,3,11,2,3,0,4,1,0,0,39,38,1
18378,29,2,15,2,11,0,4,1,0,0,49,38,0
14881,27,2,9,2,13,0,4,1,0,0,39,38,0
9667,25,2,11,6,11,4,4,1,0,0,39,38,0
26763,9,2,11,2,13,0,3,1,0,0,39,38,0
18176,40,2,15,5,11,1,4,0,0,0,39,38,0
8846,36,2,9,4,3,3,4,1,0,0,39,4,0
28599,4,2,15,4,11,2,4,1,0,0,62,38,0
9494,23,2,7,0,0,4,2,0,0,0,31,38,0
3402,32,2,11,2,6,0,4,1,65,0,49,38,0
18521,32,2,11,2,0,0,4,1,0,0,37,38,0
29635,11,2,11,2,7,3,4,0,0,0,34,38,0
8796,6,2,7,4,9,3,4,1,0,0,39,38,0
15058,3,2,11,2,5,0,3,1,0,0,39,38,0
3200,44,2,9,0,11,1,2,1,72,0,47,38,1
29978,9,2,0,4,0,1,2,1,0,0,19,38,0
25141,26,2,11,2,9,5,4,0,0,0,34,38,0
13570,19,2,9,0,9,4,4,1,0,0,44,38,0
20866,10,2,15,4,3,3,4,0,0,0,39,38,0
31726,9,2,11,2,2,0,4,1,0,0,59,38,0
32283,7,2,12,4,9,1,4,0,0,0,39,38,0
19538,23,2,1,2,13,0,4,1,0,0,54,38,0
12587,41,4,15,0,2,1,4,1,0,0,44,38,0
29615,22,2,11,2,2,0,4,1,0,0,39,38,1
1744,48,2,14,2,9,0,4,1,110,0,59,38,1
26545,15,5,11,0,7,1,4,0,0,0,24,38,0
12789,20,2,9,4,0,4,2,0,0,0,26,38,0
18637,16,2,12,2,9,0,4,1,0,0,44,38,0
18846,37,2,11,6,7,1,4,0,0,0,14,38,0
30839,25,1,7,2,9,5,0,0,0,0,39,38,0
869,16,4,14,2,9,0,4,1,0,44,39,38,1
1761,66,3,0,2,4,0,4,1,110,0,49,38,1
14222,10,2,15,4,0,1,2,0,0,0,39,22,0
10143,23,2,15,0,3,2,2,0,0,0,54,38,0
21804,8,1,11,0,0,1,4,0,0,0,39,38,0
9505,30,2,15,0,0,1,4,0,0,0,59,38,0
26167,25,2,15,2,2,0,4,1,0,0,49,38,1
26450,37,3,9,2,11,0,2,1,0,0,39,22,0
1564,32,4,14,2,9,0,4,1,117,0,34,38,1
3451,11,1,11,2,10,0,4,1,63,0,39,38,0
2683,18,2,10,2,9,0,4,1,90,0,39,38,1
31415,12,2,11,2,7,0,2,1,0,0,49,38,0
7941,28,2,11,4,6,3,4,0,0,0,39,38,0
12517,41,1,12,2,9,0,4,1,0,0,39,38,1
11471,30,2,15,2,2,0,4,1,0,0,39,38,0
28370,14,2,15,2,3,0,4,1,0,0,39,38,0
15441,8,5,9,4,9,1,4,0,0,0,49,38,0
8153,39,2,3,2,2,0,4,1,0,0,39,38,0
5998,7,2,15,4,11,4,4,1,0,0,49,25,0
31673,25,5,15,0,0,4,2,0,0,0,39,38,0
5863,9,2,1,4,13,1,4,1,0,0,39,38,0
22606,3,2,11,4,2,3,4,1,0,0,24,38,0
10114,34,2,15,0,3,4,4,0,0,0,39,38,0
27644,37,2,8,2,3,0,4,1,0,0,39,38,1
3528,15,2,15,2,6,0,4,1,57,0,39,38,0
30715,11,2,9,4,12,1,2,1,0,0,29,22,0
25183,22,2,5,3,6,4,3,0,0,0,39,5,0
3146,32,2,8,2,2,0,4,1,76,0,39,38,0
22471,10,2,11,0,0,4,4,0,0,0,39,38,0
26551,20,2,9,5,3,4,2,0,0,0,39,38,0
6818,18,4,9,2,11,0,4,1,0,0,59,23,0
10319,5,2,15,3,0,3,1,0,0,0,38,38,0
13353,27,4,12,4,4,3,4,1,0,0,92,38,0
561,26,2,15,2,3,0,4,1,0,45,39,38,1
14321,7,2,9,4,9,3,4,0,0,0,7,38,0
6510,10,3,15,4,0,3,4,0,0,0,44,38,0
19762,32,3,15,2,4,0,4,1,0,0,59,38,0
17251,44,2,11,2,3,0,4,1,0,0,49,38,1
8761,8,2,7,4,12,3,4,0,0,0,39,38,0
29611,25,1,11,0,7,1,2,1,0,0,39,38,0
29223,53,4,8,2,4,0,4,1,0,0,23,38,1
24825,39,4,15,0,11,4,4,0,0,0,47,38,0
7694,27,2,14,4,9,1,4,0,0,0,39,38,1
15595,11,2,11,2,13,0,4,1,0,0,39,38,0
13008,8,2,11,2,11,0,4,1,0,0,39,38,0
11022,37,3,15,2,11,0,4,1,0,0,53,38,1
7370,59,2,5,6,10,1,4,0,0,0,11,38,0
878,20,2,15,2,3,0,2,1,0,44,59,4,1
3828,24,2,11,2,11,0,4,1,41,0,39,38,0
11558,21,2,11,2,2,0,4,1,0,0,44,38,0
10474,4,2,15,4,3,3,4,0,0,0,29,38,0
11717,32,2,11,2,2,0,4,1,0,0,39,38,0
4240,6,2,9,4,0,3,4,0,0,0,29,38,0
16612,45,1,11,6,7,1,4,0,0,0,39,1,0
22450,22,1,9,6,9,4,1,0,0,0,9,23,0
15009,51,2,15,0,3,1,4,1,0,0,29,38,0
5862,28,2,9,2,11,0,4,1,0,0,54,38,0
14058,6,2,15,4,0,3,2,1,0,0,19,13,0
24402,29,2,0,0,0,3,2,1,0,0,39,38,0
23205,23,4,9,2,11,0,4,1,0,0,49,38,1
4356,14,2,11,4,13,4,2,0,0,0,29,38,0
30799,13,4,7,4,2,3,4,1,0,0,39,38,0
27982,18,2,8,4,2,3,2,1,0,0,39,38,0
9684,14,2,15,0,11,3,4,0,0,0,29,38,0
22410,20,1,9,2,0,0,4,1,0,0,39,38,1
15432,21,2,15,4,4,4,4,1,0,0,59,38,0
17869,11,2,11,4,7,4,4,0,0,0,27,38,0
3639,28,2,11,2,6,0,2,1,50,0,34,38,0
24112,27,2,15,0,0,4,4,0,0,0,39,38,0
9632,7,2,11,4,2,1,4,1,0,0,39,38,0
23892,17,2,12,2,9,5,1,0,0,0,39,2,1
23618,0,2,2,4,7,3,4,1,0,0,15,38,0
16808,3,2,15,4,7,3,4,1,0,0,19,38,0
32235,47,5,15,5,0,1,4,0,0,0,63,38,0
27316,0,2,1,4,7,2,4,0,0,0,11,38,0
30598,22,2,11,0,0,4,2,0,0,0,39,38,0
4587,18,2,2,0,2,1,4,1,0,0,49,38,1
8322,12,2,9,2,9,0,4,1,0,0,39,38,1
29727,22,4,11,2,4,0,4,1,0,0,59,38,0
22314,32,2,11,2,4,0,4,1,0,0,39,38,0
15552,13,2,11,4,2,1,4,1,0,0,39,38,0
27960,22,5,1,2,2,0,4,1,0,0,39,38,0
26237,29,1,9,2,13,0,2,1,0,0,39,38,0
31105,2,2,11,4,6,3,2,0,0,0,19,38,0
20266,24,2,14,2,3,5,4,0,0,0,49,23,1
28697,17,3,11,2,0,0,4,1,0,0,44,38,0
5035,15,2,11,2,6,0,4,1,0,0,39,38,0
30624,16,5,10,2,9,0,1,1,0,0,49,16,0
1076,58,4,15,2,2,0,2,1,0,34,39,38,0
1792,16,2,12,2,9,0,4,1,107,0,43,38,1
20704,42,2,9,2,11,0,4,1,0,0,36,38,1
5769,28,2,12,4,0,1,1,0,0,0,39,29,0
18716,22,2,15,2,3,0,4,1,0,0,39,38,0
13336,34,0,9,2,9,0,4,1,0,0,49,38,1
20609,27,4,11,0,11,1,4,1,0,0,49,38,0
9870,4,2,11,4,11,3,4,1,0,0,39,38,0
3645,33,2,11,2,6,5,4,0,50,0,39,7,0
15383,1,2,2,4,0,3,4,0,0,0,29,38,0
30187,15,1,11,2,10,0,4,1,0,0,39,38,0
6503,35,5,12,2,9,0,4,1,0,0,39,38,0
26392,14,2,0,2,6,0,4,1,0,0,39,38,0
13266,10,4,15,4,11,1,4,1,0,0,49,38,0
8087,9,3,15,4,11,1,4,1,0,0,47,38,0
14903,18,2,15,0,6,1,0,1,0,0,39,38,0
16942,63,2,15,6,0,1,4,0,0,0,19,38,0
17861,9,4,15,2,11,0,4,1,0,0,54,38,0
28876,11,2,12,2,9,0,4,1,0,0,39,38,1
27696,15,5,12,4,9,1,4,1,0,0,9,38,0
2115,26,1,12,2,9,0,4,1,107,0,39,38,1
29986,11,2,15,4,12,3,4,0,0,0,23,38,0
1049,21,2,11,2,2,0,4,1,0,35,47,38,0
5325,13,2,11,2,2,0,4,1,0,0,39,38,0
12921,18,2,6,2,5,0,4,1,0,0,45,38,0
19206,10,2,9,3,0,1,4,1,0,0,39,38,0
16929,25,4,9,2,4,0,4,1,0,0,49,38,0
17579,1,2,11,4,7,3,4,0,0,0,29,38,0
25671,20,4,11,2,7,0,4,1,0,0,41,38,0
851,16,1,15,2,10,0,4,1,0,44,39,38,1
2480,29,2,12,2,9,5,4,0,93,0,34,38,1
28647,20,4,11,2,2,0,4,1,0,0,39,38,0
2130,45,2,10,0,9,4,4,1,106,0,49,38,1
1776,50,1,12,4,3,2,4,0,108,0,68,38,1
20759,14,1,9,4,9,1,4,0,0,0,49,38,0
21932,10,2,12,4,6,1,4,0,0,0,39,38,0
22748,4,2,15,4,12,3,4,1,0,0,34,38,0
10866,3,2,0,4,5,4,4,1,0,0,49,38,0
2607,33,4,15,2,4,0,4,1,93,0,39,38,1
1077,28,1,14,0,9,4,2,0,0,33,39,38,0
30579,30,2,11,2,3,0,4,1,0,0,39,38,1
29946,4,2,11,2,6,0,4,1,0,0,49,38,0
10501,25,4,15,2,2,0,4,1,0,0,44,38,1
24803,24,2,15,2,0,5,2,0,0,0,39,38,1
17598,26,5,11,4,2,4,4,1,0,0,39,38,0
5826,30,1,7,2,0,5,4,0,0,0,34,38,1
16718,13,0,9,4,10,1,4,0,0,0,59,38,1
10255,14,1,15,4,0,3,0,0,0,0,24,38,0
13768,21,2,9,2,9,5,4,0,0,0,39,38,1
22163,14,2,15,2,2,0,4,1,0,0,49,38,1
28700,4,2,15,4,0,4,2,0,0,0,39,38,0
22184,22,2,11,6,0,1,4,0,0,0,39,38,0
938,17,2,9,2,9,0,4,1,0,42,39,28,1
15921,24,2,14,2,11,0,4,1,0,0,49,38,0
1249,2,2,2,4,7,3,4,1,0,23,19,38,0
608,32,2,9,2,3,0,4,1,0,45,49,38,1
5191,18,3,12,2,11,0,4,1,0,0,44,25,1
20293,19,2,11,4,2,1,4,1,0,0,39,38,0
22499,30,2,1,2,7,0,0,1,0,0,35,38,0
32376,19,2,0,0,13,4,4,1,0,0,47,38,0
12867,5,1,15,4,0,1,4,0,0,0,54,38,0
2991,22,2,11,0,7,4,2,0,79,0,39,38,0
18968,19,2,11,4,5,3,4,1,0,0,39,38,0
14071,43,2,11,0,7,4,4,0,0,0,37,38,0
1183,22,3,6,2,3,0,4,1,0,27,39,25,0
23440,37,2,4,2,13,0,4,1,0,0,39,38,1
2180,14,2,9,4,3,1,4,1,104,0,49,38,1
8391,9,2,9,4,9,1,4,0,0,0,39,38,0
25406,24,1,15,0,10,1,4,1,0,0,19,38,0
2199,23,2,9,3,9,1,1,1,103,0,39,0,1
4650,8,2,15,3,0,3,2,0,0,0,19,38,0
30628,28,2,9,2,3,0,4,1,0,0,39,38,1
867,29,2,15,2,13,0,4,1,0,44,39,38,1
9622,15,2,15,0,3,1,4,0,0,0,49,38,1
21181,24,2,9,2,12,0,4,1,0,0,44,38,1
14547,28,2,9,0,9,4,4,0,0,0,47,38,1
10380,13,2,9,4,0,1,4,0,0,0,39,38,0
18234,37,2,15,0,6,1,4,1,0,0,59,38,0
22571,29,1,12,2,9,5,4,0,0,0,44,38,1
22329,34,2,15,2,3,0,4,1,0,0,44,38,0
1929,22,4,9,2,9,0,4,1,107,0,49,23,1
9661,1,2,0,4,11,3,4,0,0,0,34,38,0
25495,38,5,7,0,0,3,1,1,0,0,39,38,0
16560,15,5,15,2,9,5,2,0,0,0,39,38,0
22959,14,2,9,2,12,0,4,1,0,0,42,38,1
12788,12,2,11,2,5,5,4,0,0,0,39,25,1
28595,4,2,11,4,0,2,4,0,0,0,44,38,0
25087,8,2,3,4,6,1,4,1,0,0,23,25,0
5549,20,2,11,0,3,4,4,0,0,0,11,38,0
22014,0,2,6,4,7,3,4,0,0,0,34,38,0
28677,28,2,11,6,2,4,2,0,0,0,39,38,0
25476,0,2,0,4,7,3,4,0,0,0,9,38,0
21842,37,2,0,0,7,1,4,1,0,0,67,38,0
30758,5,2,11,4,7,1,4,1,0,0,39,38,0
20383,37,0,11,6,0,4,4,0,0,0,34,38,0
15468,18,2,15,2,3,0,4,1,0,0,54,38,1
16830,14,1,11,2,10,0,4,1,0,0,47,38,0
14410,21,2,11,2,0,0,4,1,0,0,44,38,1
19898,26,2,12,2,3,0,4,1,0,0,49,38,1
15307,43,2,12,0,9,1,4,0,0,0,49,38,0
11109,16,2,11,4,0,4,2,0,0,0,39,38,0
31466,6,2,15,4,12,1,4,0,0,0,39,38,0
19047,19,2,9,2,11,0,4,1,0,0,39,38,1
1572,26,2,14,3,9,1,4,1,117,0,39,38,1
18481,16,4,1,0,5,1,4,1,0,0,6,38,0
23653,18,2,11,6,3,4,4,0,0,0,29,38,0
24381,2,2,15,4,11,3,4,0,0,0,24,38,0
3049,14,2,11,2,13,5,4,0,78,0,34,38,1
21556,11,2,9,4,0,1,4,1,0,0,39,38,0
2803,43,3,9,2,3,0,4,1,90,0,59,38,1
14293,38,2,11,2,2,0,4,1,0,0,44,38,0
16858,40,4,11,2,4,0,4,1,0,0,44,38,0
5999,3,2,11,4,11,1,4,0,0,0,39,38,0
26562,30,1,12,4,9,1,4,1,0,0,34,38,1
1030,11,2,11,0,7,1,4,0,0,36,51,38,0
6678,11,2,0,0,11,1,4,0,0,0,39,38,0
15477,4,2,11,4,6,1,4,1,0,0,43,38,0
2868,37,2,15,2,11,0,4,1,90,0,49,38,1
12566,22,2,15,0,0,4,2,0,0,0,39,38,0
19392,18,2,11,2,6,0,4,1,0,0,39,38,0
21546,29,2,11,0,8,1,4,0,0,0,24,38,0
27385,29,5,11,0,0,4,4,0,0,0,39,38,0
16132,33,2,11,2,5,0,2,1,0,0,39,38,0
15221,16,2,11,2,2,0,4,1,0,0,39,38,0
23279,48,2,9,0,0,1,4,0,0,0,39,38,0
12844,20,2,7,2,3,0,4,1,0,0,63,38,1
13263,21,2,15,2,3,0,4,1,0,0,49,38,0
21005,6,5,15,4,0,3,4,0,0,0,19,38,0
5102,6,1,9,4,9,3,4,0,0,0,59,38,0
323,14,2,11,4,4,1,4,1,0,50,39,38,0
18655,15,1,9,4,9,1,4,1,0,0,34,38,0
27541,34,2,8,6,9,4,1,0,0,0,39,38,0
23046,4,2,15,4,11,2,4,0,0,0,39,30,0
3505,20,2,8,2,0,0,4,1,58,0,39,38,0
22302,14,5,15,4,2,1,4,1,0,0,39,38,0
28937,18,2,9,2,3,0,4,1,0,0,39,38,1
28361,25,2,11,6,13,4,4,1,0,0,39,38,0
28888,42,2,5,5,7,3,2,0,0,0,37,38,0
32116,27,2,9,2,0,0,4,1,0,0,44,38,0
11577,32,2,9,2,11,0,4,1,0,0,44,38,1
30318,24,2,11,2,2,0,4,1,0,0,68,38,1
23247,39,2,10,2,9,0,4,1,0,0,49,38,0
18398,28,2,11,0,11,1,4,0,0,0,34,38,0
3986,5,2,9,4,3,3,4,1,26,0,3,38,0
13508,19,2,11,2,2,0,4,1,0,0,39,38,0
12727,22,2,15,4,0,1,4,0,0,0,39,38,0
31638,7,2,9,4,3,1,4,1,0,0,39,38,0
24677,7,2,8,4,0,3,1,0,0,0,19,38,0
6691,16,2,8,4,7,4,2,0,0,0,39,38,0
10011,32,2,1,0,6,4,2,0,0,0,34,38,0
31341,11,2,15,2,3,0,4,1,0,0,49,38,1
2152,41,2,11,0,2,1,4,1,105,0,47,38,1
15101,11,2,8,4,11,1,4,0,0,0,39,38,0
26059,42,2,11,5,2,4,0,0,0,0,39,38,0
25584,43,2,11,2,2,0,4,1,0,0,39,38,0
6833,27,3,11,2,11,5,4,0,0,0,59,38,0
7779,30,2,11,2,13,0,4,1,0,0,49,38,0
17305,31,2,11,2,6,0,4,1,0,0,39,38,0
4171,2,2,2,4,11,2,4,1,6,0,39,38,0
13471,16,4,11,2,7,0,2,1,0,0,39,38,0
2560,38,2,11,2,2,0,4,1,93,0,39,38,1
30498,16,2,11,5,6,4,2,0,0,0,39,38,0
24920,26,3,11,2,2,0,4,1,0,0,39,38,0
30556,39,4,11,2,4,0,4,1,0,0,44,38,0
15276,31,2,15,2,11,0,4,1,0,0,39,38,1
14618,26,5,11,4,0,1,4,0,0,0,39,38,0
27456,3,2,11,4,11,1,4,0,0,0,29,38,0
21413,10,2,15,2,6,0,4,1,0,0,39,38,0
13332,3,2,4,4,7,2,4,1,0,0,39,25,0
11222,25,3,15,4,11,1,4,1,0,0,59,38,0
9239,35,3,15,2,2,0,4,1,0,0,39,38,0
11830,23,2,11,2,0,0,4,1,0,0,39,38,0
18801,18,2,11,0,0,1,4,0,0,0,44,38,0
18727,27,5,11,0,0,1,4,0,0,0,39,38,0
10411,19,2,9,2,3,5,4,0,0,0,59,10,0
3979,6,2,15,4,7,3,2,1,26,0,75,38,0
15331,7,2,12,4,9,1,4,0,0,0,44,38,0
821,19,2,8,2,3,0,4,1,0,44,49,38,1
13255,24,4,12,0,5,4,4,1,0,0,39,28,0
10658,22,2,15,0,7,4,4,0,0,0,59,38,0
25065,31,2,11,2,2,0,4,1,0,0,39,38,0
2512,19,2,9,2,9,0,4,1,93,0,39,38,1
23003,14,2,12,2,3,0,4,1,0,0,59,9,1
14022,29,4,15,0,3,4,4,0,0,0,49,38,0
28279,1,2,2,4,5,3,4,1,0,0,19,38,0
13689,21,2,15,2,11,0,4,1,0,0,59,38,1
29019,7,2,11,2,2,0,4,1,0,0,59,38,0
32109,3,2,15,4,11,4,2,0,0,0,29,38,0
29466,14,2,9,2,3,0,4,1,0,0,49,38,1
16417,21,2,15,4,11,4,2,0,0,0,39,38,0
29433,12,2,11,0,6,4,4,0,0,0,39,38,0
10621,35,2,0,2,13,0,4,1,0,0,29,38,1
30096,27,2,9,2,9,0,4,1,0,0,39,38,1
9125,40,4,1,2,11,0,4,1,0,0,14,38,0
2365,18,2,9,4,11,1,4,0,96,0,44,38,1
25546,34,2,11,2,5,0,4,1,0,0,39,38,1
11536,31,2,9,2,13,0,4,1,0,0,44,38,1
7472,30,2,11,2,6,0,4,1,0,0,39,38,0
24641,35,2,5,2,3,5,4,0,0,0,49,38,0
13434,12,4,11,2,2,0,4,1,0,0,39,38,0
8529,20,2,0,2,4,0,4,1,0,0,34,25,0
25426,21,2,11,5,11,4,4,0,0,0,9,38,0
15530,11,4,11,0,3,1,4,0,0,0,39,38,0
7970,48,4,15,6,2,1,4,0,0,0,34,38,0
28259,43,2,6,2,6,0,4,1,0,0,48,38,0
21384,24,4,8,2,4,0,4,1,0,0,44,38,0
23447,24,1,11,0,3,4,4,0,0,0,39,38,0
24121,12,2,11,4,7,1,4,0,0,0,37,38,0
24845,29,2,11,0,3,1,4,0,0,0,39,38,0
16512,16,2,11,2,2,0,4,1,0,0,39,38,0
19077,39,4,11,2,3,0,4,1,0,0,47,38,0
24028,0,1,1,4,9,3,2,1,0,0,14,38,0
14345,5,0,15,4,3,1,2,1,0,0,39,38,0
29499,11,1,6,2,2,0,2,1,0,0,39,37,1
3421,24,1,15,2,13,0,4,1,64,0,39,38,0
20852,45,1,10,6,9,4,4,0,0,0,39,19,0
9193,23,2,11,0,2,4,4,1,0,0,39,38,0
20448,25,2,15,2,3,0,4,1,0,0,54,38,1
3601,8,2,9,4,11,1,4,1,52,0,47,38,0
10047,5,2,15,4,0,3,4,0,0,0,24,38,0
20971,23,5,11,0,7,1,2,0,0,0,47,38,0
5703,32,2,2,2,6,0,4,1,0,0,38,38,0
10527,19,1,9,4,0,1,2,0,0,0,39,38,0
25799,34,2,11,0,7,1,4,0,0,0,39,38,0
9922,8,2,15,0,12,3,4,0,0,0,39,38,0
